id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_209,"Kit Sekiama","Não sabe qual farofa escolher ? Quer presentear alguém que ama farofa? 
Este é o Kit ideal. 
 
Neste kit contém as farofas Doce, Com Muita Cebola, Com Muitas Sementes, Faropop, Churrasco com Manteiga e Com Muitas Sementes & Castanhas",http://localsitesekiama.local/wp-content/uploads/2021/11/kit-sekiama-1.png,http://localsitesekiama.local/loja/kit-sekiama/,"Kits","Sekiama",95BRL,in stock,wc_post_id_209,,,,,new,published,,,,,,,
wc_post_id_208,"Kit Confra","Vai encontrar com amigos? Neste Kit tem farofa para tudo mundo. Inclui a farofa doce que combina com todo tipo de sobremesa.",http://localsitesekiama.local/wp-content/uploads/2021/11/kit-confra-1.png,http://localsitesekiama.local/loja/kit-confra/,"Kits","Sekiama",49BRL,out of stock,wc_post_id_208,,,,,new,published,,,,,,,
wc_post_id_205,"Kit Fit","As farofas que cabem no seu plano alimentar. Ótima fonte de fibras nutricionais. 
 
Neste kit contém as farofas Com Muitas Sementes e Com Muitas Sementes & Castanhas.",http://localsitesekiama.local/wp-content/uploads/2021/11/kit-fit-1.png,http://localsitesekiama.local/loja/kit-fit/,"Kits","Sekiama",33BRL,in stock,wc_post_id_205,,,,,new,published,,,,,,,
wc_post_id_204,"Kit Veggie","As três farofas que dão match com seu paladar e seu estilo de vida 
 
Neste kit contém as farofas Faropop, Com Muita Cebola e Com Muitas Sementes.",http://localsitesekiama.local/wp-content/uploads/2021/11/kit-veggie-1.png,http://localsitesekiama.local/loja/kit-veggie/,"Kits","Sekiama",44BRL,in stock,wc_post_id_204,,,,,new,published,,,,,,,
wc_post_id_203,"Kit Favoritas","O Kit perfeito para você experimentar as mais vendidas. 
 
Contém as farofas Doce, Com Muita Cebola e Com Muitas Sementes",http://localsitesekiama.local/wp-content/uploads/2021/11/kit-fav-2.png,http://localsitesekiama.local/loja/kit-favoritas/,"Kits","Sekiama",50BRL,out of stock,wc_post_id_203,,,,,new,published,,,,,,,
wc_post_id_200,"Faropop","Temperada, do jeito que amamos comer farofa. 
A Faropop Temperada é uma das farofas tradicionais que combina com qualquer refeição. 
 
Ingredientes: Farinha de Mandioca, Gordura de Palma, Cebola, Páprica Doce, Salsinha e Sal Rosa do Himalaia 
 
É perfeita para: Carne assada, farofa de ovo, petiscos, feijoada, receitas especiais 
 
 
 
 
 
INFORMAÇÃO NUTRICIONAL 
 
 
Porções por embalagem: 8,5 porções 
 
Porção: 35 g (duas colheres de sopa) 
 
 
 
100g 
35g 
%VD* 
 
 
Valor energético (kcal) 
446 
156 
8 
 
 
Carboidratos totais (g) 
66 
23 
8 
 
 
Açúcares totais (g) 
 
 
 
 
 
Açúcares adicionados (g) 
 
 
 
 
 
Proteínas (g) 
0 
 
0 
 
 
Gorduras totais (g) 
19 
6,8 
10 
 
 
Gorduras saturadas (g) 
8 
2,9 
15 
 
 
Gorduras trans (g) 
0 
0 
0 
 
 
Fibra alimentar (g) 
5 
1,8 
7 
 
 
Vit B6 (mg) 
1 
0,21 
16 
 
 
Vit E (mg) 
4 
1,3 
9 
 
 
Cálcio (mg) 
57 
20 
2 
 
 
Ferro (mg) 
1 
0,31 
2 
 
 
Magnésio (mg) 
29 
10 
2 
 
 
Sódio (mg) 
231 
81 
4 
 
 
*Percentual de valores diários fornecidos pela porção",http://localsitesekiama.local/wp-content/uploads/2021/11/tradicional-frente.png,http://localsitesekiama.local/loja/faropop/,"Farofas","Sekiama",14.2BRL,in stock,wc_post_id_200,,"http://localsitesekiama.local/wp-content/uploads/2021/11/tradicional-verso-1.png",,,new,published,,,,,,,
wc_post_id_199,"Farofa Doce","Ideal para você que deseja inovar no sabor das suas deliciosas sobremesas, finalizando com um toque extra crocante. 
 
Você ainda pode experimentar em vitaminas, massas de tortas, cobertura de bolos e onde mais preferir. Surpreendente, não? Imagina quando você provar! 
 
Ingredientes: Flocão de Arroz, Farinha de Mandioca, Castanha-do-Pará, Gordura de Palma, Açúcar Demerara, Leite Integral e Sal Rosa do Himalaia. Contém Lactose. Alérgicos contém derivados do Leite e Castanhas. 
 
É perfeita para: sobremesas, frutas, cremes, mousses, iogurtes, sorvetes, açaí e muito mais 
 
 
 
INFORMAÇÃO NUTRICIONAL 
 
 
Porções por embalagem: 8,5 porções 
 
Porção: 35 g (duas colheres de sopa) 
 
 
 
100 g 
35 g 
%VD* 
 
 
Valor energético (kcal) 
500 
175 
9 
 
 
Carboidratos totais (g) 
54 
19 
6 
 
 
Açúcares totais (g) 
3 
1,2 
2 
 
 
Açúcares adicionados (g) 
0 
0 
0 
 
 
Proteínas (g) 
6 
2,1 
4 
 
 
Gorduras totais (g) 
29 
10 
15 
 
 
Gorduras saturadas (g) 
12 
4,1 
21 
 
 
Gorduras trans (g) 
0 
0 
0 
 
 
Fibra alimentar (g) 
3 
1 
4 
 
 
Cálcio (mg) 
114 
40 
4 
 
 
Zinco (mg) 
1 
0,3 
3 
 
 
Fósforo (mg) 
171 
60 
9 
 
 
Magnésio (mg) 
57 
20 
5 
 
 
Sódio (mg) 
131 
46 
2 
 
 
*Percentual de valores diários fornecidos pela porção",http://localsitesekiama.local/wp-content/uploads/2021/11/doce-Frente-1.png,http://localsitesekiama.local/loja/farofa-doce/,"Farofas","Sekiama",19.8BRL,in stock,wc_post_id_199,,"http://localsitesekiama.local/wp-content/uploads/2021/11/doce-Verso-1.png",,,new,published,,,,,,,
wc_post_id_197,"Farofa com Muitas Sementes e Castanhas","Foi a primeira Farofa lançada no mercado. É enriquecida com muitas sementes e castanhas, e sendo riquíssima em fibras pode ser incluída no seu dia-a-dia de forma saudável. 
Farofa sem culpa, recheada de nutrientes essenciais para a sua vida, deliciosa, nutritiva e muito crocante, tem que ser Sekiama, você vai amar! 
 
Ingredientes: Farinha de Mandioca, Linhaça Marrom, Gergelim Preto, Gergelim Branco, Chia, Linhaça Dourada, Sal Rosa do Himalaia, Semente de Girassol, Castanha-do-Pará, Castanha de Caju, Azeite de Oliva. 
 
É Perfeita para: Saladas, Proteínas, Sopas e Cremes, Entradas, Churrasco e para Empanar. 
 
 
 
 
 
INFORMAÇÃO NUTRICIONAL 
 
 
Porções por embalagem: 8,5 porções 
 
Porção: 35 g (duas colheres de sopa) 
 
 
 
100g 
35g 
%VD* 
 
 
Valor energético (kcal) 
489 
171 
9 
 
 
Carboidratos totais (g) 
54 
19 
6 
 
 
Açúcares totais (g) 
 
 
 
 
 
Açúcares adicionados (g) 
 
 
 
 
 
Proteínas (g) 
7 
2,5 
5 
 
 
Gorduras totais (g) 
28 
9,8 
15 
 
 
Gorduras saturadas (g) 
4 
1,4 
7 
 
 
Gorduras trans (g) 
0 
0 
0 
 
 
Fibra alimentar (g) 
12 
4,2 
17 
 
 
Vit B6 (mg) 
1 
0,2 
15 
 
 
Vit E (mg) 
4 
1,4 
9 
 
 
Cálcio (mg) 
174 
61 
6 
 
 
Ferro (mg) 
5 
1,8 
13 
 
 
Zinco (mg 
2 
0,68 
6 
 
 
Sódio (mg) 
140 
49 
2 
 
 
*Percentual de valores diários fornecidos pela porção",http://localsitesekiama.local/wp-content/uploads/2021/11/castanhas-frente.png,http://localsitesekiama.local/loja/farofa-com-muitas-sementes-e-castanhas-2/,"Farofas","Sekiama",18.6BRL,in stock,wc_post_id_197,,"http://localsitesekiama.local/wp-content/uploads/2021/11/castanhas-verso.png",,,new,published,,,,,,,
wc_post_id_196,"Farofa para Churrasco com Manteiga","Baseada em uma receita caseira, esta farofa consegue ao mesmo tempo ser crocante e ter um sabor bastante marcado de manteiga. 
Desenvolvida especialmente para os apreciadores de churrasco, esta farofa irá conquistar um espaço em sua mesa. 
 
Ingredientes: Farinha de Mandioca, Gordura de Palma, Manteiga e Sal Rosa do Himalaia. Contém Lactose. Alérgicos, este produto possuí derivados do leite. 
 
É perfeita para: Churrasco, Feijoada, Frango Assado, Carnes em Geral. 
 
 
 
 
 
INFORMAÇÃO NUTRICIONAL 
 
 
Porções por embalagem: 8,5 porções 
 
Porção: 35 g (duas colheres de sopa) 
 
 
 
100g 
35g 
%VD* 
 
 
Valor energético (kcal) 
466 
163 
8 
 
 
Carboidratos totais (g) 
63 
22 
7 
 
 
Açúcares totais (g) 
 
 
 
 
 
Açúcares adicionados (g) 
 
 
 
 
 
Proteínas (g) 
0 
0 
0 
 
 
Gorduras totais (g) 
23 
8,2 
13 
 
 
Gorduras saturadas (g) 
11 
3,8 
19 
 
 
Gorduras trans (g) 
0 
0 
0 
 
 
Fibra alimentar (g) 
5 
1,7 
7 
 
 
Cálcio (mg) 
57 
20 
2 
 
 
Magnésio (mg) 
31 
11 
3 
 
 
Sódio (mg) 
206 
72 
4 
 
 
*Percentual de valores diários fornecidos pela porção",http://localsitesekiama.local/wp-content/uploads/2021/11/churrasco-frente-1.png,http://localsitesekiama.local/loja/farofa-para-churrasco-com-manteiga/,"Farofas","Sekiama",17.3BRL,in stock,wc_post_id_196,,"http://localsitesekiama.local/wp-content/uploads/2021/11/churrasco-verso-1.png",,,new,published,,,,,,,
wc_post_id_195,"Farofa com Muita Cebola","Por ser incrivelmente saborosa, a Farofa com muita cebola crocante é a campeã de vendas, conquistando todos os paladares. 
Nesta nobre preparação, a farinha de mandioca absorve o incrível sabor da cebola fresca, resultando em uma farofa com sabor caseiro e muito versátil para acompanhar diferentes pratos. 
 
Ingredientes: Farinha de Mandioca, Cebola, Gordura de Palma, Sal Rosa do Himalaia. Livre de Lactose e Livre de Glúten. Contém Feninalalina. 
 
É perfeita para: Todas as suas ideias 
 
 
 
 
 
INFORMAÇÃO NUTRICIONAL 
 
 
Porções por embalagem: 8,5 porções 
 
Porção: 35 g (duas colheres de sopa) 
 
 
 
100g 
35g 
%VD* 
 
 
Valor energético (kcal) 
466 
163 
8 
 
 
Carboidratos totais (g) 
63 
22 
7 
 
 
Açúcares totais (g) 
 
 
 
 
 
Açúcares adicionados (g) 
 
 
 
 
 
Proteínas (g) 
0 
0 
0 
 
 
Gorduras totais (g) 
23 
8,2 
13 
 
 
Gorduras saturadas (g) 
11 
3,8 
19 
 
 
Gorduras trans (g) 
0 
0 
0 
 
 
Fibra alimentar (g) 
5 
1,7 
7 
 
 
Cálcio (mg) 
57 
20 
2 
 
 
Magnésio (mg) 
31 
11 
3 
 
 
Sódio (mg) 
206 
72 
4 
 
 
*Percentual de valores diários fornecidos pela porção",http://localsitesekiama.local/wp-content/uploads/2021/11/cebola-frente-1.png,http://localsitesekiama.local/loja/farofa-com-muita-cebola-2/,"Farofas","Sekiama",17.2BRL,in stock,wc_post_id_195,,"http://localsitesekiama.local/wp-content/uploads/2021/11/cebola-verso-1.png",,,new,published,,,,,,,
wc_post_id_194,"Farofa com Muitas Sementes","A Farofa com muitas sementes é incrível e vai te saciar de forma natural e saudável. 
As sementes permitem melhorar o seu consumo de fibras e micronutrientes. Você vai amar o resultado crocante, saboroso e saudável desta Farofa Sekiama. 
 
Ingredientes: Farinha de Mandioca, Linhaça Marrom, Gergelim Preto, Gergelim Branco, Chia, Semente de Girassol, Linhaça Dourada, Sal Rosa do Himalaia, Azeite de Oliva. 
 
É perfeita para : Acompanhar saladas, sopas e cremes; para deixar seu churrasco mais saudável e ainda para empanar diferentes carnes e receitas. 
 
 
 
INFORMAÇÃO NUTRICIONAL 
 
 
Porções por embalagem: 8,5 porções 
 
Porção: 35 g (duas colheres de sopa) 
 
 
 
100 g 
35 g 
%VD* 
 
 
Valor energético (kcal) 
500 
175 
9 
 
 
Carboidratos totais (g) 
49 
17 
6 
 
 
Açúcares totais (g) 
 
 
 
 
 
Açúcares adicionados (g) 
 
 
 
 
 
Proteínas (g) 
10 
3,4 
7 
 
 
Gorduras totais (g) 
29 
10 
15 
 
 
Gorduras saturadas (g) 
4 
1,3 
7 
 
 
Gorduras trans (g) 
0 
0 
0 
 
 
Fibra alimentar (g) 
19 
6,6 
26 
 
 
Vit B1 (mg) 
0 
0,10 
 
 
 
Vit B6 (mg) 
0 
0,16 
12 
 
 
Vit E (mg) 
3 
1,2 
8 
 
 
Ferro (mg) 
7 
2,4 
17 
 
 
Fósforo (mg) 
397 
139 
20 
 
 
Manganês (mg) 
2 
0,65 
22 
 
 
Magnésio (mg) 
223 
78 
19 
 
 
Zinco (mg 
3 
0,93 
8 
 
 
Sódio (mg) 
140 
49 
2 
 
 
*Percentual de valores diários fornecidos pela porção",http://localsitesekiama.local/wp-content/uploads/2021/11/sementes-Frente-1.png,http://localsitesekiama.local/loja/farofa-com-muitas-sementes/,"Farofas","Sekiama",18.2BRL,in stock,wc_post_id_194,,"http://localsitesekiama.local/wp-content/uploads/2021/11/sementes-verso-1.png",,,new,published,,,,,,,
